year,インド,インドネシア,韓国,カンボジア,シンガポール,スリランカ,タイ,台湾,中国,日本,ネパール,パキスタン,バングラデシュ,東ティモール,フィリピン,ブータン,ブルネイ,ベトナム,香港,マレーシア,ミャンマー,モルディブ,モンゴル,ラオス,東南アジア主要６カ国
2010,10.26,6.378,6.497,5.963,15.24,8.016,7.507,10.631,10.6,4.711,4.816,2.581,6.03,9.368,7.632,9.327,2.652,6.423,6.768,7.528,5.345,6.592,7.313,8.131,8.451 
2011,6.638,6.17,3.682,7.07,6.207,8.246,0.834,3.805,9.5,-0.454,3.422,3.624,6.494,9.529,3.66,10.069,3.744,6.24,4.815,5.294,5.591,6.64,17.291,8.04,4.734 
2012,5.081,6.03,2.292,7.313,3.414,6.341,7.323,2.064,7.748,1.742,4.781,3.837,6.26,6.354,6.684,6.407,0.913,5.247,1.7,5.473,7.333,1.625,12.32,7.898,5.695 
2013,6.899,5.579,2.896,7.428,4.443,7.3,2.809,2.232,7.685,1.588,4.129,3.653,6.038,2.757,7.055,4.905,-2.125,5.421,3.072,4.713,8.428,-4.77,11.649,7.968,5.003 
2014,7.286,5.025,3.31,7.004,2.918,7.4,0.866,3.771,7.3,-0.101,5.381,4.026,6.292,4.5,6.132,6.412,-2.344,5.984,2.501,5.993,8.465,6.141,7.763,7.424,4.486 
2015,7.259,4.66,2.661,6.95,2.202,6.5,2.494,2.241,6.813,0.591,3.363,4.239,6.505,4.25,6.002,7.668,-1.158,6.5,2.521,4.7,8.499,2.909,3.458,7.538,4.426 
2016,7.455,5.1,3.158,7.176,2.923,6.5,3.207,2.609,6.3,1.005,4.388,4.5,6.758,5.002,6.3,8.395,3.195,6.4,2.687,4.5,8.397,3.067,3.599,7.955,4.738 
2017,7.541,5.5,3.594,7.183,3.216,6.5,3.571,2.873,6,0.445,5.359,4.5,7,5.5,6.51,8.597,3.757,6,2.755,5,8.339,3.977,3.669,7.488,4.966 
2018,7.646,5.8,3.575,7.341,3.161,6.5,3.403,3.062,6.1,0.664,3.923,5.2,7,6,6.507,11.235,5.458,6,2.875,5,7.952,4.367,6.204,7.206,4.979 
2019,7.695,6,3.583,7.26,3.239,6.5,3.32,3.091,6.333,0.914,3.798,5.202,7,6,6.51,7.635,11.246,6,3.121,5,7.673,4.582,6.569,7.371,5.012 
2020,7.743,6,3.57,7.26,3.246,6.5,3.177,3.162,6.333,0.716,3.759,5.2,6.742,6,6.512,6.496,5.04,6,3.291,5,7.7,4.693,9.147,7.357,4.989 
